Temp Density Viscosity Viscosity/Density
10 999.7025 0.001306 1.3065736775610717e-06
11 999.6079 0.001269 1.2698748273792257e-06
12 999.5004 0.001234 1.2346367459063185e-06
13 999.3801 0.001200 1.2008406720189847e-06
14 999.2474 0.001168 1.1682094975020108e-06
15 999.1026 0.001138 1.137936890990974e-06
16 998.9461 0.001108 1.1089934375796915e-06
17 998.7780 0.001080 1.0813551457533677e-06
18 998.5986 0.001053 1.054994187891083e-06
19 998.4083 0.001027 1.0298958138121544e-06
20 998.2072 0.001002 1.0060486823733974e-06
21 997.9955 0.000978 9.834392051200487e-07
22 997.7735 0.000954 9.612135798802395e-07
23 997.5414 0.000932 9.404546849011471e-07
24 997.2994 0.000911 9.210932872448956e-07
25 997.0476 0.000890 9.030674084145491e-07
26 996.7864 0.000870 8.863204282595826e-07
27 996.5158 0.000851 8.707016832599585e-07
28 996.2360 0.000832 8.561650173705705e-07
29 995.9471 0.000814 8.42669060768406e-07
30 995.6495 0.000797 8.301768284449535e-07
31 995.3431 0.000781 8.186545188027084e-07
32 995.0281 0.000764 8.080706727905552e-07
33 994.7048 0.000749 7.983962617440571e-07
34 994.3731 0.000734 7.895045048260139e-07
35 994.0333 0.000719 7.81370444173751e-07
36 993.6855 0.000705 7.739711022689764e-07
37 993.3298 0.000691 7.672856608500859e-07
38 992.9663 0.000678 7.612951018751478e-07
39 992.5951 0.000665 7.559819529324161e-07
40 992.2164 0.000653 7.51330015241395e-07
