T	rho	  mu	   nu
1	1028.0941	0.001843	1.7926E-06
2	1028.0197	0.001783	1.7341E-06
3	1027.9327	0.001726	1.6787E-06
4	1027.8336	0.001671	1.6262E-06
5	1027.7225	0.001620	1.5762E-06
6	1027.6000	0.001571	1.5288E-06
7	1027.4662	0.001524	1.4836E-06
8	1027.3214	0.001480	1.4406E-06
9	1027.1659	0.001438	1.3995E-06
10	1027.0000	0.001397	1.3604E-06
11	1026.8238	0.001359	1.3230E-06
12	1026.6376	0.001322	1.2873E-06
13	1026.4416	0.001286	1.2532E-06
14	1026.2360	0.001252	1.2205E-06
15	1026.0210	0.001220	1.1892E-06
16	1025.7967	0.001189	1.1592E-06
17	1025.5633	0.001159	1.1304E-06
18	1025.3210	0.001131	1.1028E-06
19	1025.0700	0.001103	1.0763E-06
20	1024.8103	0.001077	1.0508E-06
21	1024.5421	0.001051	1.0263E-06
22	1024.2656	0.001027	1.0027E-06
23	1023.9808	0.000981	9.8002E-07
24	1023.6881	0.000959	9.5818E-07
25	1023.3873	0.000938	9.3713E-07
26	1023.0788	0.000918	9.1683E-07
27	1022.7626	0.000898	8.9726E-07
28	1022.4389	0.000879	8.7837E-07
29	1022.1078	0.000861	8.6014E-07
